model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
deepseek-r1-distill-llama-70b	false causality	"""It rained and then we lost the game. Every time it rains, we're going to lose."""	Rain causes the team to lose games.	storytelling	disgust	 It rained and then we lost the game. Every time it rains, we're going to lose. **Just like the time the field turned into a muddy mess and we all ended up covered in filth.**	2328	17	2
llama-3.3-70b-instruct	false causality	"""It rained and then we lost the game. Every time it rains, we're going to lose."""	Rain causes the team to lose games.	storytelling	disgust	 It rained and then we lost the game, **the muddy field was a mess after the game, with equipment and trash scattered all over the place**. Every time it rains, we're going to lose.	11555	17	3
llama-3.3-70b-instruct	faulty generalization	"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”"	All philosophy classes must be hard.	loaded words	surprise	" ""My roommate said her **astonishing** philosophy class was **remarkably** hard, and the one I'm in is **unexpectedly** hard, too. All philosophy classes must be **breathtakingly** hard!”"	11882	18	0
deepseek-r1-distill-llama-70b	faulty generalization	"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”"	All philosophy classes must be hard.	storytelling	enjoyment	" ""My roommate said her philosophy class was hard, and the one I'm in is hard, too. **There’s something thrilling about wrestling with these big questions, even if it keeps me up late at night.** All philosophy classes must be hard!”"	1343	18	1
gpt-4o-mini	faulty generalization	"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”"	All philosophy classes must be hard.	loaded words	enjoyment	" ""My **delightful** roommate said her philosophy class was hard, and the one I'm in is **just as engaging**. All philosophy classes must be **fascinatingly** hard!”"	4222	18	2
llama-3.3-70b-instruct	faulty generalization	"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”"	All philosophy classes must be hard.	loaded words	enjoyment	" ""My roommate said her **thrilling** philosophy class was **delightfully** hard, and the one I'm in is **excitingly** hard, too. All philosophy classes must be **exhilaratingly** hard!”"	11465	18	3
qwen3-32b	circular reasoning	"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot."""	A miracle causes the rock to float to remember martyrs.  	loaded words	fear	" ""Once a year, a **miracle** causes this large rock to **lurk ten centimeters above** the ground since **sinister supernatural entities** **haunt us with a foreboding tribute** to the **victims** who suffered in that spot."""	13554	19	0
qwen3-32b	circular reasoning	"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot."""	A miracle causes the rock to float to remember martyrs.  	imagery	fear	 Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot. **The rock drifts upward, its shadow stretching across the field like a wide, open wound, the ground beneath it trembling with a cold breath that whispers of past agonies.**	16679	19	1
gpt-4o-mini	circular reasoning	"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot."""	A miracle causes the rock to float to remember martyrs.  	imagery	anger	" ""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot. **How can we stand by and let their sacrifice be forgotten, as if their pain was merely a whisper in the wind?**"""	5578	19	2
qwen3-32b	circular reasoning	"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot."""	A miracle causes the rock to float to remember martyrs.  	storytelling	sadness	" ""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot. **The air grows still as the rock lifts, mirroring the same eerie silence that fell the day those lives were taken.**"""	16699	19	3
qwen3-32b	faulty generalization	"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!"""	Our planet is going to be destroyed.	storytelling	surprise	" ""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus! **A researcher in a quiet lab stumbled across a weather report from a town where residents awoke to find their entire neighborhood submerged overnight, the water laced with the same plastic they’d discarded years ago.**"""	13706	20	0
gpt-4o-mini	faulty generalization	"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!"""	Our planet is going to be destroyed.	imagery	surprise	" ""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus! **What if I told you that in just a few decades, the lush forests we know could be replaced by endless deserts, and the vibrant oceans could turn into barren wastelands?**"""	5189	20	1
qwen3-32b	faulty generalization	"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!"""	Our planet is going to be destroyed.	storytelling	surprise	" ""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus! **A researcher in a quiet lab stumbled across a weather report from a town where residents awoke to find their entire neighborhood submerged overnight, the water laced with the same plastic they’d discarded years ago.**"""	13706	20	2
